Index     Term                DF   
3323      consecut            27   
3324      consensu            9    
3325      consent             2    
3326      consequ             18   
3327      consequenti         1    
3328      conserv             19   
3329      conservat           1    
3330      conservationist     1    
3331      consid              131  
3332      consider            28   
3333      consign             1    
3334      consist             14   
3335      consistu            1    
3336      consol              8    
3337      consolid            13   
3338      consortium          7    
3339      conspicu            2    
3340      conspir             6    
3341      conspiraci          18   
3342      constant            10   
3343      constantinescu      1    
3344      constantli          10   
3345      constern            1    
3346      constitu            5    
3347      constitut           105  
3348      constrain           1    
3349      constrict           1    
3350      construct           30   
3351      consul              10   
3352      consular            3    
3353      consult             20   
3354      consum              4    
3355      consumpt            1    
3356      contact             38   
3357      contain             46   
3358      contamin            1    
3359      contempl            4    
3360      contemporari        2    
3361      contempt            9    
3362      contend             25   
3363      content             20   
3364      contenti            4    
3365      contest             44   
3366      context             10   
3367      contin              6    
3368      continent           1    
3369      conting             4    
3370      continu             230  
3371      contort             1    
3372      contract            26   
3373      contractor          4    
3374      contradict          6    
3375      contrari            7    
3376      contrast            5    
3377      contribut           47   
3378      contributor         5    
3379      contrit             1    
3380      contriv             1    
3381      control             170  
3382      controversi         34   
3383      conven              8    
3384      conveni             16   
3385      convent             8    
3386      converg             14   
3387      convers             18   
3388      convert             5    
3389      convey              3    
3390      convict             123  
3391      convictsgetaway     1    
3392      convinc             27   
3393      convincingli        1    
3394      convok              1    
3395      convoy              14   
3396      cooey               1    
3397      cook                20   
3398      cool                5    
3399      cooler              2    
3400      coolingoff          3    
3401      coon                1    
3402      cooper              77   
3403      coopt               1    
3404      coordin             27   
3405      cop                 1    
3406      cope                9    
3407      copi                19   
3408      copper              2    
3409      coproduct           6    
3410      copsstyl            1    
3411      cord                1    
3412      cordial             3    
3413      cordillera          1    
3414      cordon              10   
3415      core                10   
3416      corech              1    
3417      coretta             1    
3418      corey               2    
3419      cori                3    
3420      corina              4    
3421      corn                2    
3422      cornahaim           1    
3423      cornaheim           1    
3424      cornard             1    
3425      corner              34   
3426      cornerston          1    
3427      cornett             2    
3428      corni               1    
3429      cornwal             1    
3430      corollari           1    
3431      coron               2    
3432      corp                16   
3433      corpor              15   
3434      corps               13   
3435      corpu               1    
3436      corral              1    
3437      correct             24   
3438      correctli           5    
3439      correl              4    
3440      correspond          26   
3441      corridor            2    
3442      corros              3    
3443      corrug              1    
3444      corrugatediron      1    
3445      corrupt             78   
3446      corzin              13   
3447      cosbi               1    
3448      cosic               1    
3449      cosmeniov           1    
3450      cosminov            1    
3451      cost                41   
3452      costa               4    
3453      costello            1    
3454      costelow            1    
3455      costli              5    
3456      costliest           3    
3457      cot                 4    
3458      coteri              1    
3459      cotibua             1    
3460      coton               1    
3461      cotton              7    
3462      couch               2    
3463      coue                1    
3464      could               391  
3465      couldnt             4    
3466      couldv              1    
3467      coulibali           9    
3468      council             43   
3469      councilman          1    
3470      counsel             24   
3471      counselor           2    
3472      count               79   
3473      counter             19   
3474      counterattack       4    
3475      counterintellig     4    
3476      counternarcot       1    
3477      counterpart         5    
3478      counterpunch        2    
3479      counterrevolutionari1    
3480      counterterror       11   
3481      counti              35   
3482      countless           1    
3483      countri             410  
3484      countryman          7    
3485      countrymen          8    
3486      countrysid          15   
3487      countryspan         1    
3488      coup                43   
3489      coupdetour          1    
3490      coupl               40   
3491      courag              11   
3492      courier             3    
3493      cours               62   
3494      court               190  
3495      courtappoint        2    
3496      courtesi            1    
3497      courthous           4    
3498      courtland           1    
3499      courtroom           7    
3500      courtsid            2    
3501      courtyard           6    
3502      cousin              4    
3503      coustunitza         1    
3504      coven               1    
3505      cover               66   
3506      coverag             19   
3507      coverdel            3    
3508      coverup             1    
3509      covic               3    
3510      cow                 7    
3511      coward              2    
3512      cowardli            15   
3513      cowboy              3    
3514      cower               3    
3515      cowl                1    
3516      cpn                 2    
3517      crabbi              1    
3518      crack               32   
3519      crackdown           10   
3520      crackl              2    
3521      cradl               1    
3522      craft               19   
3523      crafti              2    
3524      cragey              3    
3525      craggi              1    
3526      craig               13   
3527      cram                3    
3528      cramp               8    
3529      crane               18   
3530      cranni              1    
3531      crap                1    
3532      crash               85   
3533      crater              6    
3534      crave               2    
3535      crawl               9    
3536      crazi               7    
3537      creak               1    
3538      creaki              2    
3539      cream               3    
3540      creasingli          1    
3541      creat               49   
3542      creation            5    
3543      creativ             2    
3544      creator             1    
3545      credenc             2    
3546      credenti            16   
3547      credibl             42   
3548      credit              20   
3549      creditor            4    
3550      cree                1    
3551      creed               2    
3552      creek               1    
3553      creep               5    
3554      creepi              1    
3555      cremat              4    
3556      crematoria          1    
3557      crematorium         1    
3558      crept               6    
3559      crescent            1    
3560      crest               2    
3561      crestfallen         1    
3562      crevic              1    
3563      crew                133  
3564      crewman             4    
3565      crewmemb            5    
3566      crewmen             10   
3567      cri                 38   
3568      crime               78   
3569      crimefight          1    
3570      crimin              105  
3571      criminolog          1    
3572      crippl              39   
3573      crise               14   
3574      crisi               54   
3575      crisp               3    
3576      cristo              1    
3577      criteria            2    
3578      critic              121  
3579      croat               3    
3580      croatia             14   
3581      croatian            2    
3582      croifl              1    
3583      croni               18   
3584      crook               7    
3585      crop                3    
3586      crosbi              5    
3587      cross               43   
3588      crosscourt          7    
3589      crossfir            1    
3590      crossleg            2    
3591      crouch              12   
3592      crous               1    
3593      crow                1    
3594      crowbar             6    
3595      crowd               104  
3596      crowdpleas          2    
3597      crowley             10   
3598      crown               8    
3599      crucial             21   
3600      crucifi             1    
3601      crude               1    
3602      crue                1    
3603      cruel               3    
3604      cruelti             3    
3605      cruis               16   
3606      cruiser             3    
3607      cruman              1    
3608      crumbl              21   
3609      crumpl              3    
3610      crusad              4    
3611      crush               22   
3612      crust               1    
3613      crutch              6    
3614      cruz                1    
3615      cryptic             1    
3616      crystal             2    
3617      cs                  1    
3618      cuba                9    
3619      cuban               2    
3620      cubanamerican       2    
3621      cue                 1    
3622      cuellar             6    
3623      culdesac            1    
3624      culmin              8    
3625      culpabl             1    
3626      culprit             9    
3627      cultiv              2    
3628      cultur              11   
3629      cummin              2    
3630      cun                 5    
3631      cuomo               3    
3632      cup                 9    
3633      cupboard            1    
3634      curb                4    
3635      curdl               1    
3636      cure                1    
3637      curfew              10   
3638      curios              2    
3639      curiou              9    
3640      currenc             2    
3641      current             52   
3642      curriculum          4    
3643      curs                4    
3644      cursori             1    
3645      curt                2    
3646      curtail             4    
3647      curtain             3    
3648      curti               3    
3649      curv                3    
3650      cush                2    
3651      cusp                1    
3652      cussin              2    
3653      custodi             21   
3654      custodian           3    
3655      custom              9    
3656      customari           2    
3657      cut                 113  
3658      cutback             1    
3659      cutigua             1    
3660      cutter              7    
3661      cw                  1    
3662      cybercaf            1    
3663      cybernet            1    
3664      cycl                3    
3665      cyclon              1    
3666      cylind              1    
3667      cylindr             1    
3668      cynic               9    
3669      cypru               1    
3670      cyr                 1    
3671      czarist             1    
3672      czaristera          1    
3673      czech               14   
3674      czechoslovakian     1    
3675      d                   9    
3676      da                  2    
3677      dad                 11   
3678      dada                1    
3679      dadiv               1    
3680      daejung             5    
3681      daewoo              5    
3682      dagestan            3    
3683      dagger              3    
3684      daili               29   
3685      daja                2    
3686      dakota              19   
3687      dakotan             1    
3688      dakouri             1    
3689      dalal               1    
3690      dale                2    
3691      daley               7    
3692      dalla               30   
3693      dallasarea          5    
3694      dallasbas           2    
3695      dallasfort          2    
3696      dalworthington      1    
3697      dam                 1    
3698      damag               154  
3699      damascu             2    
3700      dame                1    
3701      damir               3    
3702      dammaj              1    
3703      damor               1    
3704      damp                1    
3705      dampen              2    
3706      dan                 18   
3707      dana                2    
3708      danah               4    
3709      danburi             1    
3710      danc                11   
3711      dancer              3    
3712      dandelion           1    
3713      dane                1    
3714      danewich            1    
3715      danforth            3    
3716      danger              103  
3717      dangl               2    
3718      daniel              19   
3719      daniela             6    
3720      daniil              2    
3721      danni               1    
3722      danzig              4    
3723      daoud               1    
3724      dapist              1    
3725      dar                 5    
3726      darden              1    
3727      dare                15   
3728      daren               7    
3729      dark                28   
3730      darken              3    
3731      darkhair            2    
3732      darl                1    
3733      darn                1    
3734      darrel              2    
3735      dart                1    
3736      darwinian           1    
3737      daschl              11   
3738      dash                4    
3739      dashboard           1    
3740      data                4    
3741      date                27   
3742      datelin             7    
3743      daughter            54   
3744      daughterinlaw       2    
3745      daunt               6    
3746      dave                18   
3747      davenport           44   
3748      davi                4    
3749      david               58   
3750      davidian            2    
3751      davidstyl           1    
3752      dawn                21   
3753      day                 456  
3754      daybreak            3    
3755      daybyday            1    
3756      dayeb               1    
3757      daylight            4    
3758      daytoday            2    
3759      dayton              9    
3760      daytona             1    
3761      daytonhudson        3    
3762      daze                4    
3763      dazesurvivor        1    
3764      dc                  13   
3765      dc10                1    
3766      dcalif              1    
3767      dconn               3    
3768      dd21                1    
3769      dday                1    
3770      de                  17   
3771      dea                 1    
3772      deactiv             2    
3773      dead                164  
3774      deadli              53   
3775      deadliest           16   
3776      deadlin             13   
3777      deadlock            3    
3778      deadon              1    
3779      deaf                1    
3780      deal                98   
3781      dealt               6    
3782      dean                5    
3783      dear                5    
3784      dearborn            1    
3785      dearli              3    
3786      death               210  
3787      deathdefi           1    
3788      deathrow            1    
3789      debar               1    
3790      debat               65   
3791      debbi               5    
3792      deborah             3    
3793      debra               2    
3794      debri               47   
3795      debt                14   
3796      debut               1    
3797      dec                 48   
3798      decad               81   
3799      decadesold          2    
3800      decay               2    
3801      deceas              8    
3802      deceit              1    
3803      decemb              79   
3804      decent              2    
3805      decentr             3    
3806      decept              1    
3807      decibel             1    
3808      decid               103  
3809      decidedli           1    
3810      decis               173  
3811      decisionmak         2    
3812      deck                44   
3813      declar              99   
3814      declassifi          2    
3815      declin              48   
3816      decod               2    
3817      decompos            1    
3818      decor               2    
3819      decrat              2    
3820      decre               2    
3821      decri               3    
3822      ded                 1    
3823      dedic               9    
3824      dedinj              5    
3825      dee                 1    
3826      deed                3    
3827      deem                8    
3828      deep                42   
3829      deepen              5    
3830      deeper              3    
3831      deepest             1    
3832      deepli              23   
3833      deepsea             4    
3834      deepseat            2    
3835      deepwat             6    
3836      defac               1    
3837      default             2    
3838      defeat              143  
3839      defect              2    
3840      defenc              3    
3841      defend              121  
3842      defens              153  
3843      defer               2    
3844      defi                5    
3845      defianc             7    
3846      defiant             6    
3847      defiantli           2    
3848      defici              1    
3849      deficit             11   
3850      defin               7    
3851      definit             37   
3852      deflat              1    
3853      deflect             5    
3854      defoli              1    
3855      defolt              1    
3856      deforest            10   
3857      defraud             3    
3858      defunct             1    
3859      defus               3    
3860      degr                1    
3861      degrad              4    
3862      degre               23   
3863      dehuman             1    
3864      dehydr              3    
3865      del                 11   
3866      delawar             25   
3867      delay               34   
3868      deleg               10   
3869      delhi               17   
3870      deli                1    
3871      deliber             15   
3872      delic               7    
3873      delici              1    
3874      delight             5    
3875      deliv               36   
3876      deliveri            2    
3877      dell                1    
3878      delsaut             2    
3879      delta               9    
3880      delus               2    
3881      delv                1    
3882      demaci              1    
3883      demagogu            2    
3884      demand              75   
3885      demarc              1    
3886      demean              1    
3887      demeanor            2    
3888      dementieva          5    
3889      demick              1    
3890      demilitar           1    
3891      demis               6    
3892      democraci           72   
3893      democrat            188  
3894      democratich         1    
3895      demograph           1    
3896      demolish            4    
3897      demolit             5    
3898      demon               4    
3899      demonstr            88   
3900      demot               2    
3901      demur               1    
3902      demystifi           1    
3903      dengu               1    
3904      deni                95   
3905      denial              5    
3906      denigr              1    
3907      denis               14   
3908      denisa              3    
3909      denn                1    
3910      denni               8    
3911      denomin             1    
3912      denounc             13   
3913      dens                4    
3914      dent                2    
3915      dental              1    
3916      denver              21   
3917      depart              180  
3918      departur            20   
3919      depend              34   
3920      depict              1    
3921      deplan              1    
3922      deplet              2    
3923      deplor              2    
3924      deploy              22   
3925      deport              3    
3926      deportieren         1    
3927      depos               7    
3928      deposit             4    
3929      depot               4    
3930      depress             3    
3931      depriv              1    
3932      depth               12   
3933      deputi              46   
3934      dequia              2    
3935      derail              1    
3936      derelict            1    
3937      deriv               3    
3938      desai               1    
3939      descend             18   
3940      descent             9    
3941      describ             80   
3942      descript            8    
3943      desegreg            1    
3944      desert              31   
3945      desertstyl          3    
3946      deserv              15   
3947      deservedli          2    
3948      design              34   
3949      designe             1    
3950      desir               15   
3951      desirepaulin        1    
3952      desist              3    
3953      desk                6    
3954      desol               1    
3955      despair             6    
3956      desper              39   
3957      despic              12   
3958      despis              3    
3959      despit              116  
3960      despot              1    
3961      destabil            3    
3962      destin              10   
3963      destini             1    
3964      destitut            1    
3965      destroy             227  
3966      destruct            27   
3967      desvid              1    
3968      detach              3    
3969      detail              89   
3970      detain              31   
3971      detaine             2    
3972      detat               7    
3973      detect              14   
3974      detector            1    
3975      detent              10   
3976      deter               15   
3977      deterg              1    
3978      deterior            11   
3979      determin            101  
3980      deterr              2    
3981      detest              1    
3982      deton               30   
3983      detour              4    
3984      detritu             1    
3985      detroit             3    
3986      deuc                12   
3987      deutch              8    
3988      deutsch             1    
3989      devast              58   
3990      devastatingli       1    
3991      develop             97   
3992      deviat              1    
3993      devic               15   
3994      devilish            1    
3995      devis               1    
3996      devot               15   
3997      devour              2    
3998      devoutli            1    
3999      dewat               2    
4000      dewin               2    
4001      dga                 2    
4002      dhabi               4    
4003      dhahran             12   
4004      dharan              1    
4005      dhingra             1    
4006      dhrumal             1    
4007      diabak              1    
4008      diagnos             5    
4009      diagnosi            1    
4010      diagnost            1    
4011      diagnostico         1    
4012      diagram             1    
4013      dialect             1    
4014      diallo              2    
4015      dialo               3    
4016      dialogu             8    
4017      diamet              3    
4018      diamond             3    
4019      dian                2    
4020      diann               3    
4021      diari               1    
4022      diarrhea            2    
4023      diaz                2    
4024      dick                36   
4025      dickinson           1    
4026      dictablanda         1    
4027      dictadura           1    
4028      dictat              29   
4029      dictatori           3    
4030      dictatorship        10   
4031      diction             4    
4032      dictionari          1    
4033      dictment            1    
4034      did                 36   
4035      didnt               1    
4036      die                 192  
4037      diego               5    
4038      dienstbier          2    
4039      diesel              2    
4040      diet                3    
4041      differ              107  
4042      difficult           84   
4043      difficulti          21   
4044      diffus              1    
4045      dig                 49   
4046      digest              1    
4047      digger              3    
4048      digit               2    
4049      dignitari           5    
4050      digniti             8    
4051      dilapid             1    
4052      dilemma             4    
4053      dilfer              1    
4054      dilig               1    
4055      dilut               1    
4056      dime                1    
4057      dimens              2    
4058      diminish            5    
4059      diminut             1    
4060      dimitr              1    
4061      dimitri             2    
4062      dimmer              1    
4063      dina                1    
4064      dinar               2    
4065      dind                3    
4066      dine                8    
4067      dinghi              4    
4068      dingi               1    
4069      dinh                2    
4070      dinkic              3    
4071      dinner              10   
4072      dioulo              1    
4073      dip                 2    
4074      diplomaci           8    
4075      diplomat            69   
4076      diplospeak          4    
4077      dire                1    
4078      direct              75   
4079      directli            40   
4080      director            101  
4081      directorgener       2    
4082      diring              1    
4083      dirksen             1    
4084      dirt                33   
4085      dirtentrust         1    
4086      dirti               11   
4087      dirtiest            1    
4088      dirtpack            1    
4089      dirtpoor            3    
4090      disabl              4    
4091      disadvantag         1    
4092      disaffect           1    
4093      disagr              3    
4094      disagre             8    
4095      disappear           24   
4096      disappoint          25   
4097      disapprov           1    
4098      disarm              1    
4099      disarma             1    
4100      disarray            2    
4101      disassembl          1    
4102      disast              76   
4103      disastr             8    
4104      disband             6    
4105      disbar              4    
4106      disbelief           5    
4107      disc                1    
4108      discard             2    
4109      discharg            3    
4110      disciplin           13   
4111      disciplinari        6    
4112      disclos             12   
4113      disclosur           7    
4114      discomfort          4    
4115      discont             2    
4116      discontinu          1    
4117      discord             2    
4118      discothequ          1    
4119      discount            1    
4120      discourag           7    
4121      discov              37   
4122      discoveri           12   
4123      discovi             1    
4124      discredit           10   
4125      discreet            1    
4126      discrep             4    
4127      discret             4    
4128      discrimin           2    
4129      discuss             75   
4130      disdain             4    
4131      diseas              9    
4132      disenfranchis       3    
4133      disgaz              1    
4134      disgrac             12   
4135      disgruntl           5    
4136      disguis             9    
4137      disgust             1    
4138      dish                1    
4139      dishdasha           1    
4140      dishearten          2    
4141      dishonor            2    
4142      disillus            2    
4143      disinfect           5    
4144      disinform           1    
4145      disintegr           10   
4146      dislik              1    
4147      disloc              2    
4148      dislodg             2    
4149      dismal              1    
4150      dismantl            8    
4151      dismay              3    
4152      dismemb             1    
4153      dismiss             32   
4154      disobedi            14   
4155      disord              3    
4156      disori              2    
4157      dispar              4    
4158      disparag            2    
4159      dispatch            26   
4160      dispel              2    
4161      dispens             1    
4162      dispers             13   
4163      displac             2    
4164      display             29   
4165      displeas            1    
4166      displeasur          1    
4167      dispos              12   
4168      disposit            1    
4169      disprov             2    
4170      disput              33   
4171      disqualifi          6    
4172      disquiet            1    
4173      disregard           5    
4174      disreput            1    
4175      disrespect          2    
4176      disrupt             9    
4177      dissect             1    
4178      dissemin            4    
4179      dissent             5    
4180      dissid              6    
4181      dissip              1    
4182      dissolv             12   
4183      dissuas             1    
4184      distanc             16   
4185      distant             7    
4186      distinct            7    
4187      distinctli          1    
4188      distinguish         7    
4189      distort             6    
4190      distract            8    
4191      distraught          13   
4192      distress            4    
4193      distribut           26   
4194      district            38   
4195      distrust            1    
4196      disturb             9    
4197      disun               2    
4198      ditch               2    
4199      dive                21   
4200      diver               67   
4201      divers              8    
4202      diversifi           1    
4203      divert              8    
4204      divid               33   
4205      divis               26   
4206      divorc              3    
4207      divulg              4    
4208      dixvil              1    
4209      dizzi               2    
4210      djahouri            1    
4211      djibouti            20   
4212      djikal              1    
4213      djila               1    
4214      djindjic            17   
4215      djindjickostunica   1    
4216      djukanov            3    
4217      djuro               1    
4218      dk                  1    
4219      dmass               3    
4220      dmich               1    
4221      dmitri              12   
4222      dmo                 1    
4223      dmon                1    
4224      dna                 5    
4225      dnevnik             1    
4226      dni                 2    
4227      do                  77   
4228      doan                1    
4229      dobrica             1    
4230      dochterman          1    
4231      dock                42   
4232      docksid             2    
4233      doctor              51   
4234      doctrin             1    
4235      document            44   
4236      documentari         1    
4237      dodg                1    
4238      dodgi               3    
4239      doe                 10   
4240      doer                1    
4241      doesnt              4    
4242      dog                 32   
4243      dogged              1    
4244      doggedli            1    
4245      doha                1    
4246      dokic               9    
4247      doll                1    
4248      dollar              37   
4249      dolphin             1    
4250      domain              1    
4251      dome                2    
4252      domest              16   
4253      domin               38   
4254      dominican           1    
4255      dominik             16   
4256      dominikov           4    
4257      dominion            2    
4258      dominiqu            1    
4259      domino              2    
4260      dominolik           1    
4261      don                 2    
4262      donald              35   
4263      donaldson           2    
4264      donat               19   
4265      done                109  
4266      dong                1    
4267      donkey              1    
4268      donna               2    
4269      donor               11   
4270      donoth              1    
4271      dont                14   
4272      dooda               1    
4273      doom                9    
4274      door                47   
4275      doortodoor          1    
4276      doorway             2    
4277      dopher              1    
4278      dora                1    
4279      dorcol              1    
4280      doreen              1    
4281      dori                1    
4282      dormitori           1    
4283      dorothi             3    
4284      dose                1    
4285      doss                1    
4286      dostoyevski         1    
4287      dot                 3    
4288      doubl               35   
4289      doublecheck         1    
4290      doubled             1    
4291      doubledigit         1    
4292      doublefault         11   
4293      doubt               50   
4294      doudou              1    
4295      doug                1    
4296      dougal              9    
4297      dougherti           2    
4298      dougla              1    
4299      dour                2    
4300      dove                1    
4301      dover               24   
4302      dow                 2    
4303      down                83   
4304      downbeat            1    
4305      downcorrect         1    
4306      downfal             19   
4307      downplay            3    
4308      downpour            1    
4309      downstair           2    
4310      downthemiddl        1    
4311      downtown            29   
4312      dows                1    
4313      doyal               1    
4314      doze                1    
4315      dozen               112  
4316      dozo                1    
4317      dr                  8    
4318      draconian           2    
4319      draft               16   
4320      drag                15   
4321      dragan              6    
4322      dragana             1    
4323      dragesa             1    
4324      dragisha            1    
4325      dragoljub           8    
4326      dragomir            2    
4327      dragon              2    
4328      drain               8    
4329      drama               13   
4330      draman              15   
4331      dramat              33   
4332      drape               12   
4333      draper              2    
4334      draskov             4    
4335      drastic             1    
4336      draw                48   
4337      drawn               17   
4338      dread               1    
4339      dream               20   
4340      dress               24   
4341      dresser             1    
4342      drew                23   
4343      drexel              1    
4344      dri                 16   
4345      driedup             1    
4346      drift               3    
4347      drill               8    
4348      drink               13   
4349      drip                1    
4350      drissa              3    
4351      drive               61   
4352      driven              16   
4353      driver              24   
4354      driveway            1    
4355      drizzl              1    
4356      drizzli             1    
4357      drop                51   
4358      dropin              1    
4359      drought             2    
4360      drove               22   
4361      drown               6    
4362      drub                1    
4363      drudg               1    
4364      drug                41   
4365      drugli              1    
4366      drugmak             1    
4367      drum                1    
4368      drumbeat            2    
4369      drummer             2    
4370      drunk               3    
4371      drunken             1    
4372      drydock             1    
4373      dsd                 2    
4374      dsedalia            1    
4375      du                  1    
4376      dual                1    
4377      duan                1    
4378      dub                 3    
4379      dubai               5    
4380      dubiou              1    
4381      duboc               1    
4382      duc                 7    
4383      duck                2    
4384      duct                6    
4385      dudley              12   
4386      due                 38   
4387      duel                3    
4388      duffel              2    
4389      duffi               4    
4390      duffl               1    
4391      dug                 21   
4392      duglon              1    
4393      duguid              2    
4394      dugup               1    
4395      duke                1    
4396      dull                1    
4397      duluth              1    
4398      duma                1    
4399      dump                12   
4400      duo                 1    
4401      duopoli             1    
4402      dupe                1    
4403      duplic              1    
4404      durango             2    
4405      dure                1    
4406      duress              1    
4407      dusan               1    
4408      dusk                2    
4409      dust                13   
4410      dusti               11   
4411      dutch               3    
4412      duti                27   
4413      duval               1    
4414      dwarf               1    
4415      dwell               2    
4416      dwi                 1    
4417      dwight              2    
4418      dwindl              11   
4419      dwva                3    
4420      dwyer               1    
4421      dy                  5    
4422      dye                 2    
4423      dygalo              2    
4424      dynam               4    
4425      dynamit             4    
4426      dynamitetip         4    
4427      dynasti             1    
4428      dysfunct            1    
4429      e                   9    
4430      each                8    
4431      eager               18   
4432      eagl                1    
4433      eagleton            1    
4434      eaker               1    
4435      eantwar             1    
4436      ear                 7    
4437      eardrum             2    
4438      earli               180  
4439      earlier             188  
4440      earliest            7    
4441      earlyseason         1    
4442      earmark             8    
4443      earn                22   
4444      earnest             5    
4445      earshot             1    
4446      earth               29   
4447      earthmov            3    
4448      earthquak           110  
4449      earthquakedriven    1    
4450      earthquakeravag     1    
4451      earthquakestricken  1    
4452      earthquaketrigg     2    
4453      eas                 27   
4454      easi                34   
4455      easier              12   
4456      easiest             2    
4457      easili              25   
4458      easley              1    
4459      east                127  
4460      eastern             40   
4461      eat                 15   
4462      eaten               2    
4463      eavesdrop           1    
4464      eb                  3    
4465      ebb                 5    
4466      ebri                1    
4467      eccel               1    
4468      echeverria          1    
4469      echo                28   
4470      eclips              2    
4471      ecolog              1    
4472      ecologist           1    
4473      ecommerc            1    
4474      econolin            1    
4475      econom              83   
4476      economi             73   
4477      economist           12   
4478      ecstat              1    
4479      ecuador             10   
4480      ecuadorian          1    
4481      ed                  12   
4482      edberg              1    
4483      edg                 46   
4484      edgar               1    
4485      edict               1    
4486      edific              1    
4487      edikipa             1    
4488      edinburgh           1    
4489      edit                16   
4490      editor              16   
4491      editori             16   
4492      editorinchief       1    
4493      edmond              32   
4494      edmund              25   
4495      edmundo             1    
4496      edt                 13   
4497      eduard              1    
4498      eduardo             1    
4499      educ                37   
4500      edward              6    
4501      edwardo             1    
4502      edwin               2    
4503      eeri                2    
4504      eerili              1    
4505      effect              76   
4506      effici              4    
4507      effort              185  
4508      effortlessli        1    
4509      eg                  1    
4510      egg                 5    
4511      egoavil             3    
4512      egotist             2    
4513      egregi              1    
4514      egypt               26   
4515      egyptian            31   
4516      ehud                8    
4517      eight               104  
4518      eightday            2    
4519      eighteenmonthold    1    
4520      eighth              15   
4521      eighthcenturi       1    
4522      eighthseed          6    
4523      eighti              2    
4524      eightman            1    
4525      eightmemb           1    
4526      eightmonth          1    
4527      eightvolum          1    
4528      eightyear           3    
4529      eightyseven         2    
4530      eightyyearold       1    
4531      eisenhow            3    
4532      either              60   
4533      eject               2    
4534      ekra                1    
4535      el                  68   
4536      elabor              24   
4537      elana               1    
4538      elast               1    
4539      elat                1    
